id_marka,id_producent,nazwa_marki
11110,112,Nescafe
11111,112,Goplana
11112,112,Aero
11113,112,Princessa
11114,112,KitKat
11115,112,Lion
11116,112,JoJo
11117,112,Nestle; Platinum
11118,112,Na��czowianka
11119,112,Mazowszanka
11120,112,Dar Natury
11121,112,Nespresso
11122,112,Winiary
11123,112,Bon Pari
11124,112,Purina
11125,112,Maggi
11126,112,Zielona Budka
11127,112,Corn Flakes
11128,112,Nesquik
11129,112,Chocapic
11130,112,Cini Minis
11131,112,Cheerios
11132,112,Cookie Crisp
11133,113,Pepsi
11134,113,Mirinda
11135,113,7Up
11136,113,Mountain Dew
11137,113,Lipton
11138,113,Rockstar Energy Drink
11139,113,Toma
11140,113,Gatorade
11141,113,Krystaliczne �r�d�o
11142,113,Lays
11143,113,Cheetos
11144,113,Star
11145,113,Mr. Snaki
11146,113,Sunbites
11147,113,Twistos
11148,113,Hyper
11149,114,Activia
11150,114,Actimel
11151,114,Alpro
11152,114,Danette
11153,114,Danonino
11154,114,Danio
11155,114,Evian
11156,114,Volvic
11157,114,Nutricia
11158,114,Aqua
11159,115,Pedigree
11160,115,Whiskas
11161,115,Perfect Fit
11162,115,Sheba
11163,115,Catsan
11164,115,Cesar
11165,115,Chappi
11166,115,Dreamies
11167,115,Frolic
11168,115,KiteKat
11169,115,Royal Canin
11170,115,Orbit
11171,115,Snickers
11172,115,M&M's
11173,115,Skittles
11174,115,Twix
11175,115,Juicy Fruit
11176,115,Mars
11177,115,WinterFresh
11178,115,Bounty
11179,115,Celebration
11180,115,Airwaves
11181,115,Milky Way
11182,116,Belvita
11183,116,Milka
11184,116,Lu
11185,116,Philadelphia
11186,116,Oreo
11187,116,Tuc
11188,116,Triscuit
11189,116,Halls
11190,117,Pringles
11191,118,Amino
11192,118,Algida
11193,118,Knorr
11194,118,Lipton
11195,118,Rama
11196,118,Ciff
11197,118,Coccolino
11198,118,Domestos
11199,118,Persil
11200,118,Axe
11201,118,Dove
11202,118,Rexona
11203,118,Timotei
11204,118,Magnum
11205,118,Cornetto
11206,118,Hellmann's
11207,118,Ben&Jerry's
11208,119,Johnson's Baby
11209,119,Penaten
11210,119,Clean & Clear
11211,119,Neutrogena
11212,119,Johnson's
11213,119,Carefree
11214,119,Listerine
11215,120,Tampax
11216,120,Pampers
11217,120,Vizir
11218,120,Pantene
11219,120,Lenor
11220,120,Always
11221,120,Ariel
11222,120,Blend a Med.
11223,120,Gillette
11224,120,Head & Shoulders
11225,120,Old Spice
